learning rate = 0.01
start point = [0, 0]

results: 
380: [1.9990733008625017, 0.9999999999999778] = -7.999999141228709
381: [1.9990918348452515, 0.9999999999999796] = -7.999999175236052
382: [1.9991099981483464, 0.9999999999999812] = -7.999999207896704
383: [1.9991277981853794, 0.9999999999999827] = -7.999999239263995
384: [1.9991452422216718, 0.9999999999999841] = -7.99999926938914
385: [1.9991623373772383, 0.9999999999999855] = -7.99999929832133
386: [1.9991790906296936, 0.9999999999999866] = -7.999999326107806
387: [1.9991955088170996, 0.9999999999999877] = -7.999999352793937
388: [1.9992115986407577, 0.9999999999999887] = -7.999999378423297
389: [1.9992273666679425, 0.9999999999999887] = -7.999999403037734
390: [1.9992428193345837, 0.9999999999999887] = -7.99999942667744
391: [1.999257962947892, 0.9999999999999887] = -7.999999449381013
392: [1.999272803688934, 0.9999999999999896] = -7.999999471185525
393: [1.9992873476151554, 0.9999999999999896] = -7.9999994921265785
394: [1.9993016006628523, 0.9999999999999903] = -7.999999512238365
395: [1.9993155686495956, 0.999999999999991] = -7.999999531553727
396: [1.9993292572766037, 0.9999999999999917] = -7.999999550104199
397: [1.9993426721310716, 0.9999999999999923] = -7.999999567920073
398: [1.9993558186884501, 0.9999999999999923] = -7.999999585030437
399: [1.9993687023146811, 0.9999999999999929] = -7.999999601463232
400: [1.9993813282683874, 0.9999999999999929] = -7.9999996172452885
401: [1.9993937017030197, 0.9999999999999934] = -7.999999632402376
402: [1.9994058276689592, 0.999999999999994] = -7.999999646959242
403: [1.99941771111558, 0.999999999999994] = -7.999999660939655
404: [1.9994293568932684, 0.9999999999999944] = -7.999999674366444
405: [1.999440769755403, 0.9999999999999944] = -7.999999687261533
406: [1.9994519543602949, 0.9999999999999944] = -7.9999996996459775
407: [1.999462915273089, 0.9999999999999944] = -7.999999711539997
408: [1.9994736569676272, 0.9999999999999944] = -7.999999722963012
409: [1.9994841838282746, 0.9999999999999944] = -7.999999733933677
410: [1.999494500151709, 0.9999999999999944] = -7.999999744469903
411: [1.9995046101486749, 0.9999999999999949] = -7.999999754588895
412: [1.9995145179457015, 0.9999999999999953] = -7.999999764307175
413: [1.9995242275867873, 0.9999999999999953] = -7.999999773640611
414: [1.9995337430350515, 0.9999999999999958] = -7.9999997826044424
415: [1.9995430681743505, 0.9999999999999961] = -7.999999791213307
416: [1.9995522068108635, 0.9999999999999964] = -7.99999979948126
417: [1.9995611626746463, 0.9999999999999968] = -7.999999807421801
418: [1.9995699394211535, 0.999999999999997] = -7.999999815047898
419: [1.9995785406327304, 0.999999999999997] = -7.999999822372002
420: [1.9995869698200759, 0.9999999999999972] = -7.99999982940607
421: [1.9995952304236744, 0.9999999999999974] = -7.9999998361615905
422: [1.9996033258152008, 0.9999999999999977] = -7.999999842649592
423: [1.9996112592988968, 0.9999999999999979] = -7.999999848880667
424: [1.9996190341129187, 0.9999999999999981] = -7.999999854864993
425: [1.9996266534306604, 0.9999999999999982] = -7.9999998606123395
426: [1.9996341203620471, 0.9999999999999982] = -7.99999986613209
427: [1.9996414379548062, 0.9999999999999982] = -7.99999987143326
428: [1.99964860919571, 0.9999999999999983] = -7.999999876524503
429: [1.9996556370117957, 0.9999999999999984] = -7.999999881414133
430: [1.9996625242715598, 0.9999999999999984] = -7.999999886110133
431: [1.9996692737861286, 0.9999999999999986] = -7.999999890620171
432: [1.9996758883104062, 0.9999999999999986] = -7.999999894951612
433: [1.9996823705441982, 0.9999999999999987] = -7.999999899111528
434: [1.9996887231333142, 0.9999999999999987] = -7.999999903106713
